Name,Wonderlic Score,SB MVP(s),MVP(s),Pro Bowl MVP(s),OPOY,Passing Yards,Seasons Played,Success
Oscar Davenport,6,0,0,0,0,0,0,0.0
Vince Young,6,0,0,0,1,8964,6,5.379
Terrelle Pryor,7,0,0,0,0,0,0,0.0
Vince Evans,8,0,0,0,0,9485,19,1.747
Chris Leak,8,0,0,0,0,0,0,0.0
Jeff George,10,0,0,0,0,27602,12,8.051
Michael Bishop,10,0,0,0,0,0,0,0.0
Tee Martin,11,0,0,0,0,0,0,0.0
Romario Miller,11,0,0,0,0,0,0,0.0
Ell Robertson,11,0,0,0,0,0,0,0.0
Marcus Smith,11,0,0,0,0,0,0,0.0
Tobi Karrode,12,0,0,0,0,0,0,0.0
Ted White,12,0,0,0,0,0,0,0.0
Lamar Jackson,13,0,1,1,0,0,0,2.4
Rasheed Marshall,13,0,0,0,0,0,0,0.0
Brock Berlin,13,0,0,0,0,0,0,0.0
Brad Banks,13,0,0,0,0,0,0,0.0
Neil O Donnell,13,0,0,0,0,0,0,0.0
Kordell Stewart,14,0,0,0,0,14746,11,4.692
Charlie Batch,14,0,0,0,0,11085,15,2.586
John David Booty,14,0,0,0,0,0,0,0.0
Donovan Mcnabb,14,0,0,0,0,0,0,0.0
Ortega Jenkins,14,0,0,0,0,0,0,0.0
Wayne Madkin,14,0,0,0,0,0,0,0.0
Seneca Wallace,14,0,0,0,0,0,0,0.0
David Garrard,14,0,0,0,0,16003,9,6.223
Randall Cunningham,15,0,0,1,0,29979,17,6.572
Jim Kelly,15,0,0,1,0,35467,11,11.685
Troy Smith,15,0,0,0,0,0,0,0.0
Steve Mcnair,15,0,0,0,0,0,0,0.0
Terry Bradshaw,15,2,1,0,0,27989,14,11.597
Jim Sorgi,15,0,0,0,0,0,0,0.0
Elvis Grbac,16,0,0,0,0,16774,8,7.339
Dan Marino,16,0,1,0,0,61361,17,14.633
Heath Shuler,16,0,0,0,0,0,0,0.0
Anthony Wright,16,0,0,0,0,0,0,0.0
Chris Redman,16,0,0,0,0,0,0,0.0
Dante Kanner,16,0,0,0,0,0,0,0.0
Kent Smith,16,0,0,0,0,0,0,0.0
Rod Rutherford,17,0,0,0,0,0,0,0.0
Antwaan Randle El,17,0,0,0,0,0,0,0.0
Rohan Davey,17,0,0,0,0,0,0,0.0
Vinny Testaverde,17,0,0,0,0,46233,21,7.706
Aaron Brooks,17,0,0,0,0,20261,7,10.13
Jeff Blake,17,0,0,0,0,21711,14,5.428
Woodrow Dantzler,17,0,0,0,0,0,0,0.0
Cleo Lemon,18,0,0,0,0,0,0,0.0
Daunte Culpepper,18,0,0,0,0,24153,11,7.685
Jarius Jackson,18,0,0,0,0,0,0,0.0
Eric Meyer,18,0,0,0,0,0,0,0.0
Kevin Frederick,18,0,0,0,0,0,0,0.0
Tyler Palko,18,0,0,0,0,0,0,0.0
Jalen Hurts,18,0,0,0,0,0,0,0.0
Paxton Lynch,18,0,0,0,0,0,0,0.0
Joe Hamilton,18,0,0,0,0,0,0,0.0
Reggie Mcneal,19,0,0,0,0,0,0,0.0
Bruce Gradkowski,19,0,0,0,0,0,0,0.0
DJ Shockley,19,0,0,0,0,0,0,0.0
Derek Anderson,19,0,0,0,0,10878,13,2.929
Tarvaris Jackson,19,0,0,0,0,7263,10,2.542
Brian Randall,19,0,0,0,0,0,0,0.0
Jared Allen,19,0,0,0,0,0,0,0.0
AJ Feeley,19,0,0,0,0,0,0,0.0
Tua Tagovailoa,19,0,0,0,0,0,0,0.0
Matt Jones,19,0,0,0,0,0,0,0.0
Casey Clausen,20,0,0,0,0,0,0,0.0
Deshaun Watson,20,0,0,0,0,9716,3,11.335
Teddy Bridgewater,20,0,0,0,0,7652,6,4.464
Jake Locker,20,0,0,0,0,0,0,0.0
Derek Carr,20,0,0,0,0,22793,6,13.296
Cody Pickett,20,0,0,0,0,0,0,0.0
Tyler Wilson,20,0,0,0,0,0,0,0.0
Ryan Little,20,0,0,0,0,0,0,0.0
Andrew Hall,20,0,0,0,0,0,0,0.0
Michael Vick,20,0,0,0,0,22464,15,5.242
Dylan Smith,20,0,0,0,0,0,0,0.0
Richart Casey,20,0,0,0,0,0,0,0.0
Jonathan Beasley,20,0,0,0,0,0,0,0.0
Scott Tries Back,20,0,0,0,0,0,0,0.0
Luke Getsy,20,0,0,0,0,0,0,0.0
Andre Woodson,20,0,0,0,0,0,0,0.0
Garrett Grayson,20,0,0,0,0,0,0,0.0
Anthony Boone,20,0,0,0,0,0,0,0.0
John Welsh,20,0,0,0,0,0,0,0.0
Cam Newton,21,0,1,0,1,29041,9,13.444
Retton Mitchell,21,0,0,0,0,0,0,0.0
Scott Covington,21,0,0,0,0,0,0,0.0
Mark Garcia,21,0,0,0,0,0,0,0.0
Jeff Rowe,21,0,0,0,0,0,0,0.0
Tyler Thigpen,21,0,0,0,0,0,0,0.0
Jerod Evans,21,0,0,0,0,0,0,0.0
Don Makowski,21,0,0,0,0,0,0,0.0
Tim Tebow,22,0,0,0,0,0,0,0.0
Brett Farve,22,0,0,0,0,0,0,0.0
Chad Kelly,22,0,0,0,0,0,0,0.0
Mark Brunell,22,0,0,1,0,32072,18,6.636
Trent Dilfer,22,0,0,0,0,20518,14,5.13
Matt Scott,22,0,0,0,0,0,0,0.0
Chad Henne,22,0,0,0,0,12960,11,4.124
BJ Simons,22,0,0,0,0,0,0,0.0
Scott Mcmullen,22,0,0,0,0,0,0,0.0
Chris Simms,22,0,0,0,0,0,0,0.0
Ronald Curry,22,0,0,0,0,0,0,0.0
Erik Ainge,22,0,0,0,0,0,0,0.0
Bart Hendricks,22,0,0,0,0,0,0,0.0
Ben Leard,22,0,0,0,0,0,0,0.0
AJ McCarron,22,0,0,0,0,0,0,0.0
Chris Miller,22,0,0,0,0,19320,13,5.202
Brett Favre,22,0,3,0,0,71838,20,18.572
Jevan Snead,22,0,0,0,0,0,0,0.0
Mike Took,22,0,0,0,0,0,0,0.0
Tim Couch,22,0,0,0,0,11131,5,7.792
Chris Chaloupka,22,0,0,0,0,0,0,0.0
Gramley,22,0,0,0,0,0,0,0.0
Mark Brunel,22,0,0,0,0,0,0,0.0
Jimmy Clausen,23,0,0,0,0,0,0,0.0
Jason Campbell,23,0,0,0,0,16771,9,6.522
Jeff Smoker,23,0,0,0,0,0,0,0.0
Dave Bryant,23,0,0,0,0,0,0,0.0
Greg Zalman,23,0,0,0,0,0,0,0.0
Tim Hasselbeck,23,0,0,0,0,0,0,0.0
Robert Kent,23,0,0,0,0,0,0,0.0
Justin Rascati,23,0,0,0,0,0,0,0.0
Jordan Palmer,23,0,0,0,0,0,0,0.0
Jacob Eason,23,0,0,0,0,0,0,0.0
Connor Shaw,23,0,0,0,0,0,0,0.0
James Morgan,23,0,0,0,0,0,0,0.0
Graham Harrell,23,0,0,0,0,0,0,0.0
Jason Thomas,23,0,0,0,0,0,0,0.0
Josh Blankenship,24,0,0,0,0,0,0,0.0
Jacoby Brissett,24,0,0,0,0,6442,4,5.637
Tyler Bray,24,0,0,0,0,0,0,0.0
Brad Smith,24,0,0,0,0,0,0,0.0
Brodie Croyle,24,0,0,0,0,0,0,0.0
JaMarcus Russell,24,0,0,0,0,0,0,0.0
Luke Mccown,24,0,0,0,0,0,0,0.0
John Navarre,24,0,0,0,0,0,0,0.0
Zac Dysert,24,0,0,0,0,0,0,0.0
Eric Crouch,24,0,0,0,0,0,0,0.0
Geno Smith,24,0,0,0,0,0,0,0.0
Scott Mitchell,24,0,0,0,0,15692,11,4.993
David Carr,24,0,0,0,0,14452,11,4.598
Robert Griffin,24,0,0,0,1,9229,8,4.188
John Skelton,24,0,0,0,0,0,0,0.0
Colt Brennan,24,0,0,0,0,0,0,0.0
Josh Johnson,24,0,0,0,0,0,0,0.0
Chris Ricks,24,0,0,0,0,0,0,0.0
Billy Joe Tolliver,24,0,0,0,0,10760,11,3.424
Christian Hackenberg,24,0,0,0,0,0,0,0.0
Kevin O Connell,24,0,0,0,0,0,0,0.0
Marquis Tuiasasopo,24,0,0,0,0,0,0,0.0
Patrick Mahomes,24,1,1,1,0,9412,3,14.681
Baker Mayfield,25,0,0,0,0,7552,2,13.216
Ben Roethlisberger,25,0,0,0,1,56545,16,12.519
Chad Pennington,25,0,0,0,0,17823,11,5.671
Colt McCoy,25,0,0,0,0,0,0,0.0
Cardale Jones,25,0,0,0,0,0,0,0.0
David Neal,25,0,0,0,0,0,0,0.0
Ben Dougherty,25,0,0,0,0,0,0,0.0
Casey Bramlett,25,0,0,0,0,0,0,0.0
Bradley Van Pelt,25,0,0,0,0,0,0,0.0
Byron Leftwich,25,0,0,0,0,10532,10,3.686
Ken Dorsey,25,0,0,0,0,0,0,0.0
Dak Prescott,25,0,0,0,1,15778,4,13.956
Shane Carden,25,0,0,0,0,0,0,0.0
Randy Fasani,25,0,0,0,0,0,0,0.0
Mitchell Trubisky,25,0,0,0,0,8554,3,9.98
Brian lewerke,25,0,0,0,0,0,0,0.0
Anthony Gordon,25,0,0,0,0,0,0,0.0
Davis Webb,25,0,0,0,0,0,0,0.0
Shaun King,25,0,0,0,0,0,0,0.0
Joe Jermaine,25,0,0,0,0,0,0,0.0
Justin Herbert,25,0,0,0,0,0,0,0.0
Spurgeon Wynn,25,0,0,0,0,0,0,0.0
Josh Harris,25,0,0,0,0,0,0,0.0
Shane Griggs,25,0,0,0,0,0,0,0.0
Brock Osweiler,25,0,0,0,0,7418,7,3.709
Connor Cook,25,0,0,0,0,0,0,0.0
Brock Huard,25,0,0,0,0,0,0,0.0
Shaun Hill,25,0,0,0,0,8295,12,2.419
Major Applewhite,26,0,0,0,0,0,0,0.0
Mike Glennon,26,0,0,0,0,0,0,0.0
Rodney Peete,26,0,0,0,0,16338,16,3.574
Akili Smith,26,0,0,0,0,0,0,0.0
Tim Lester,26,0,0,0,0,0,0,0.0
Jared Lorenzen,26,0,0,0,0,0,0,0.0
Timmy Chang,26,0,0,0,0,0,0,0.0
Jason Fife,26,0,0,0,0,0,0,0.0
Jay Cutler,26,0,0,0,0,35133,12,10.247
