Name,Wonderlic Score,SB MVP(s),MVP(s),Pro Bowl MVP(s),OPOY,Passing Yards,Seasons Played,Touchdowns,Passer Rating,Completion %,Pick 6s,Interceptions,Success
Vince Young,6,0,0,0,1,8964,6,46,74.4,57.9,3,51,5.45
Terrelle Pryor,7,0,0,0,0,1994,8,9,69.3,56.3,1,12,0.981
Vince Evans,8,0,0,0,0,9485,19,52,63.0,50.6,6,74,1.787
Jeff George,10,0,0,0,0,27602,12,154,80.4,57.9,12,113,8.656
Lamar Jackson,13,0,1,1,0,4328,2,42,104.7,63.7,0,9,11.925999999999998
Neil O'Donnell,13,0,0,0,0,21690,14,120,81.8,57.8,8,68,6.0329999999999995
Kordell Stewart,14,0,0,0,0,14746,11,77,70.7,55.8,7,84,4.822
Charlie Batch,14,0,0,0,0,11085,15,61,77.2,56.6,3,52,2.843
Donovan McNabb,14,0,0,0,0,37276,13,234,85.6,59.0,7,117,11.273
Seneca Wallace,14,0,0,0,0,4947,10,31,80.8,59.4,1,19,2.041
David Garrard,14,0,0,0,0,16003,9,89,85.8,61.6,4,54,6.867000000000001
Randall Cunningham,15,0,0,1,0,29979,17,207,81.5,56.6,5,134,7.183
Jim Kelly,15,0,0,1,0,35467,11,237,84.4,60.1,12,175,12.498
Troy Smith,15,0,0,0,0,1734,4,8,78.5,51.7,0,5,1.761
Steve McNair,15,0,0,0,0,31304,13,174,82.8,60.1,13,119,9.126
Terry Bradshaw,15,2,1,0,0,27989,14,212,70.9,51.9,8,210,12.883
Elvis Grbac,16,0,0,0,0,16774,8,99,79.6,59.1,12,81,7.805
Dan Marino,16,0,1,0,0,61361,17,420,86.4,59.4,29,252,16.004
Heath Shuler,16,0,0,0,0,3691,5,15,54.3,49.2,2,33,2.345
Anthony Wright,16,0,0,0,0,3590,8,20,66.3,54.9,3,25,1.655
Chris Redman,16,0,0,0,0,3047,9,21,79.4,57.0,5,14,1.432
Vinny Testaverde,17,0,0,0,0,46233,21,275,75.0,56.5,23,267,8.007
Aaron Brooks,17,0,0,0,0,20261,7,123,78.5,56.5,5,92,10.876
Jeff Blake,17,0,0,0,0,21711,14,134,78.0,56.4,12,99,5.912999999999999
Cleo Lemon,18,0,0,0,0,2185,7,8,71.8,55.7,0,7,1.258
Daunte Culpepper,18,0,0,0,0,24153,11,149,87.8,63.0,7,106,8.367
Bruce Gradkowski,19,0,0,0,0,4057,9,21,65.8,52.9,1,24,1.694
Derek Anderson,19,0,0,0,0,10878,13,60,70.4,54.3,9,64,3.071
Tarvaris Jackson,19,0,0,0,0,7263,10,39,59.6,78.5,3,35,2.735
AJ Feeley,19,0,0,0,0,4618,12,28,69.1,55.8,6,31,1.476
Deshaun Watson,20,0,0,0,0,9716,3,71,101.0,66.8,2,29,13.142000000000001
Teddy Bridgewater,20,0,0,0,0,7652,6,28,88.3,65.2,0,25,4.729
Jake Locker,20,0,0,0,0,4967,4,27,79.0,57.5,1,22,4.681
Derek Carr,20,0,0,0,0,22793,6,143,90.7,64.0,8,62,15.024000000000001
Michael Vick,20,0,0,0,0,22464,15,133,80.4,56.2,6,88,5.785
Cam Newton,21,0,1,0,1,29041,9,182,86.1,59.6,10,108,14.557
Jeff Garcia,21,0,0,0,0,25537,12,161,87.5,61.6,11,83,8.387
Tyler Thigpen,21,0,0,0,0,3222,7,21,72.5,54.0,2,18,1.818
Tim Tebow,22,0,0,0,0,2422,3,17,75.3,47.9,2,9,3.2760000000000002
Mark Brunell,22,0,0,1,0,32072,18,184,84.0,59.5,14,108,7.221
Trent Dilfer,22,0,0,0,0,20518,14,113,70.2,55.5,13,129,5.215
